elapsed,portnumber,cwnd,ssthresh,rtt
0.503833055496,47824,10,-,0.694/0.347
0.504050016403,47826,10,-,1.25/0.625
0.504254102707,47822,10,-,0.702/0.351
0.504471063614,47828,10,-,0.71/0.355
0.50469493866,47820,10,-,0.719/0.359
2.52522110939,47824,10,-,0.694/0.347
2.52541708946,47826,10,-,1.25/0.625
2.5255959034,47822,10,-,0.702/0.351
2.52576899529,47828,10,-,0.71/0.355
2.52601504326,47820,10,-,0.719/0.359
4.5451259613,47824,10,-,0.694/0.347
4.54530692101,47826,10,-,1.25/0.625
4.54548311234,47822,10,-,0.702/0.351
4.54565906525,47828,10,-,0.71/0.355
4.54588603973,47820,10,-,0.719/0.359
6.56450891495,47824,10,-,0.694/0.347
6.56484699249,47826,10,-,1.25/0.625
6.56505298615,47822,10,-,0.702/0.351
6.56527090073,47828,10,-,0.71/0.355
6.56553292274,47820,10,-,0.719/0.359
8.58532500267,47824,10,-,0.694/0.347
8.58552002907,47826,10,-,1.25/0.625
8.58570289612,47822,10,-,0.702/0.351
8.58586907387,47828,10,-,0.71/0.355
8.58611011505,47820,10,-,0.719/0.359
10.6050159931,47824,10,-,0.694/0.347
10.6052179337,47826,10,-,1.25/0.625
10.6054270267,47822,10,-,0.702/0.351
10.6056249142,47828,10,-,0.71/0.355
10.6058409214,47820,10,-,0.719/0.359
12.6250879765,47824,10,-,0.694/0.347
12.625262022,47826,10,-,1.25/0.625
12.6254339218,47822,10,-,0.702/0.351
12.6256000996,47828,10,-,0.71/0.355
12.6257660389,47820,10,-,0.719/0.359
14.6442449093,47824,10,-,0.694/0.347
14.6444211006,47826,10,-,1.25/0.625
14.6445848942,47822,10,-,0.702/0.351
14.6447949409,47828,10,-,0.71/0.355
14.6449611187,47820,10,-,0.719/0.359
16.6641259193,47824,10,-,0.694/0.347
16.6643519402,47826,10,-,1.25/0.625
16.6645569801,47822,10,-,0.702/0.351
16.6647779942,47828,10,-,0.71/0.355
16.6649849415,47820,10,-,0.719/0.359
18.6846079826,47824,10,-,0.694/0.347
18.6847929955,47826,10,-,1.25/0.625
18.6850299835,47822,10,-,0.702/0.351
18.685199976,47828,10,-,0.71/0.355
18.6853690147,47820,10,-,0.719/0.359
20.7044959068,47824,10,-,0.694/0.347
20.7046980858,47826,10,-,1.25/0.625
20.7049241066,47822,10,-,0.702/0.351
20.7051150799,47828,10,-,0.71/0.355
20.705286026,47820,10,-,0.719/0.359
22.7233519554,47824,10,-,0.694/0.347
22.723539114,47826,10,-,1.25/0.625
22.7237150669,47822,10,-,0.702/0.351
22.7238800526,47828,10,-,0.71/0.355
22.7240641117,47820,10,-,0.719/0.359
24.7435491085,47824,10,-,0.694/0.347
24.7437589169,47826,10,-,1.25/0.625
24.7439661026,47822,10,-,0.702/0.351
24.7441670895,47828,10,-,0.71/0.355
24.74436903,47820,10,-,0.719/0.359
26.7633919716,47824,10,-,0.694/0.347
26.7636079788,47826,10,-,1.25/0.625
26.7638320923,47822,10,-,0.702/0.351
26.7640559673,47828,10,-,0.71/0.355
26.7642540932,47820,10,-,0.719/0.359
28.783878088,47824,10,-,0.694/0.347
28.7840600014,47826,10,-,1.25/0.625
28.7842390537,47822,10,-,0.702/0.351
28.7844209671,47828,10,-,0.71/0.355
28.7845890522,47820,10,-,0.719/0.359
30.8036808968,47824,10,-,0.694/0.347
30.8038949966,47826,10,-,1.25/0.625
30.8041000366,47822,10,-,0.702/0.351
30.8043041229,47828,10,-,0.71/0.355
30.8045170307,47820,10,-,0.719/0.359
32.8238708973,47824,10,-,0.694/0.347
32.8240768909,47826,10,-,1.25/0.625
32.8242990971,47822,10,-,0.702/0.351
32.8245019913,47828,10,-,0.71/0.355
32.8247311115,47820,10,-,0.719/0.359
34.843957901,47824,10,-,0.694/0.347
34.844135046,47826,10,-,1.25/0.625
34.844315052,47822,10,-,0.702/0.351
34.8444941044,47828,10,-,0.71/0.355
34.8447749615,47820,10,-,0.719/0.359
36.8629319668,47824,10,-,0.694/0.347
36.8631010056,47826,10,-,1.25/0.625
36.8632690907,47822,10,-,0.702/0.351
36.8634409904,47828,10,-,0.71/0.355
36.8636190891,47820,10,-,0.719/0.359
