elapsed,cwnd,bytes_acked,bytes_received,rcv_space
0.482527017593,19,2737,1656,28960
0.486220121384,69,7657,2793,28960
1.5015001297,10,-,-,-
1.50545096397,27,7665,1896,28960
1.50558996201,69,7657,2793,28960
2.52156615257,10,-,5792,28960
2.52586698532,1,-,-,-
2.52599000931,35,12801,2136,28960
2.52611207962,10,-,5792,28960
2.52623510361,10,-,5792,28960
2.52635502815,10,-,5792,28960
2.52646708488,10,-,5792,28960
2.52659106255,73,8185,2793,28960
3.54116106033,10,-,39096,28960
3.54538607597,1,-,-,-
3.54551696777,44,19505,2376,28960
3.54563903809,10,-,37648,28960
3.54575705528,10,-,39096,28960
3.54587006569,10,-,39096,28960
3.54598903656,10,-,39096,28960
3.54610514641,73,8185,2793,28960
4.56045007706,10,-,105704,34752
4.56471204758,53,26225,2616,28960
4.56486392021,10,-,102808,36200
4.56500506401,10,-,102808,34752
4.5651409626,10,-,105704,34752
4.56527900696,10,-,104256,34752
4.56541895866,73,8185,2793,28960
5.58053207397,10,-,204168,65160
5.58464813232,62,32737,2856,28960
5.58478212357,10,-,195480,59368
5.58490300179,10,-,195480,59368
5.58502411842,10,-,201272,65160
5.58514714241,10,-,201272,60816
5.58527207375,73,8185,2793,28960
6.59999394417,10,-,331592,104256
6.60408306122,71,39265,3096,28960
6.60421013832,10,-,331592,94120
6.6043279171,10,-,330144,98464
6.60443711281,10,-,330144,104256
6.60454893112,10,-,327248,97016
6.60465908051,73,8185,2793,28960
7.61960792542,10,-,516936,173760
7.62377214432,80,45777,3336,28960
7.62393093109,10,-,519832,156384
7.62406611443,10,-,525624,162176
7.62420392036,10,-,522728,172312
7.62433600426,10,-,512592,165072
7.62448406219,73,8185,2793,28960
8.63909292221,10,-,731240,234576
8.6432890892,89,52321,3576,28960
8.64341211319,10,-,693592,217200
8.64352893829,10,-,710968,220096
8.643638134,10,-,745720,221544
8.64374613762,10,-,722552,224440
8.64386701584,73,8185,2793,28960
9.65856814384,10,-,945544,286704
9.66284799576,14,58881,3816,28960
9.66300606728,10,-,865904,266432
9.66314411163,10,-,884728,272224
9.6632771492,10,-,946992,282360
9.66341209412,10,-,899208,273672
9.66354203224,73,8185,2793,28960
10.6788260937,10,-,1107720,286704
10.682945013,23,65409,4056,28960
10.6830780506,10,-,1083104,266432
10.6832070351,10,-,1087448,272224
10.6833291054,10,-,1117856,282360
10.6834421158,10,-,1083104,273672
10.683562994,73,8185,2793,28960
11.6985321045,10,-,1339400,314216
11.7030930519,32,71937,4296,28960
11.7032320499,10,-,1235144,289600
11.7033760548,10,-,1281480,295392
11.7035059929,10,-,1372704,311320
11.7036409378,10,-,1287272,289600
11.7037899494,73,8185,2793,28960
12.7182381153,10,-,1553704,314216
12.7226700783,32,78449,4536,28960
12.7228219509,10,-,1436416,289600
12.7229380608,10,-,1466824,295392
12.7230250835,10,-,-,-
12.7232151031,10,-,1543568,311320
12.7233359814,10,-,1484200,306976
12.723443985,73,8185,2793,28960
13.7375159264,10,-,1724568,325800
13.7417929173,32,85185,4776,28960
13.741920948,10,-,1604384,296840
13.7420389652,10,-,1657960,306976
13.7421479225,1,-,-,-
13.7422721386,10,-,1760768,331592
13.7423911095,10,-,1678232,306976
13.7425200939,73,8185,2793,28960
14.7568049431,10,-,2069192,325800
14.7613620758,32,91953,5016,28960
14.7615120411,10,-,1801312,296840
14.761644125,10,-,1685472,306976
14.7617731094,1,-,-,-
14.761909008,10,-,1782488,331592
14.7620420456,10,-,1754976,306976
14.7621850967,73,8185,2793,28960
15.7771129608,10,-,2112632,335936
15.7818529606,32,98721,5256,28960
15.7820010185,10,-,1925840,296840
15.7821369171,10,-,1999688,306976
15.7822580338,1,-,-,-
15.7824039459,10,-,2125664,331592
15.7825510502,10,-,1759320,306976
15.7826941013,73,8185,2793,28960
16.7977969646,10,-,2406576,335936
16.8022370338,32,105505,5496,28960
16.8023729324,10,-,2222680,296840
16.8024880886,10,-,2085120,306976
16.8026001453,1,-,-,-
