elapsed,cwnd,bytes_acked,bytes_received,rcv_space
0.500851869583,146,22205,11805,28960
0.500982999802,10,2737,1656,28960
1.51716804504,146,22205,11805,28960
1.51730298996,10,7873,1896,28960
2.53367900848,146,22205,11805,28960
2.53379702568,10,12993,2136,28960
3.55084109306,10,-,11584,28960
3.55098390579,146,22681,11805,28960
3.55112791061,10,-,11584,28960
3.55127000809,10,-,11584,28960
3.55140399933,10,-,11584,28960
3.55154109001,10,-,11584,28960
3.5516679287,10,18113,2376,28960
3.55176687241,10,-,-,-
4.5684299469,10,-,37648,28960
4.56856894493,146,22681,11805,28960
4.56868290901,10,-,37648,28960
4.56880497932,10,-,37648,28960
4.56891894341,10,-,37648,28960
4.56904101372,10,-,37648,28960
4.56916093826,10,25009,2616,28960
4.56926488876,1,-,-,-
5.58695292473,10,-,83984,33304
5.58710694313,146,22681,11805,28960
5.58724594116,10,-,83984,33304
5.58738088608,10,-,83984,33304
5.58752703667,10,-,83984,33304
5.58765792847,10,-,83984,33304
5.58778500557,10,31953,2856,28960
5.58791089058,1,-,-,-
6.60506796837,10,-,162176,63712
6.6052210331,146,22681,11805,28960
6.60535407066,10,-,160728,63712
6.60549807549,10,-,160728,62264
6.60563993454,10,-,160728,62264
6.60576701164,10,-,162176,65160
6.60590195656,10,38897,3096,28960
6.60601902008,1,-,-,-
7.62344002724,10,-,312768,107152
7.62359404564,146,22681,11805,28960
7.62372708321,10,-,311320,107152
7.62386608124,10,-,311320,108600
7.62400507927,10,-,309872,107152
7.62413191795,10,-,312768,107152
7.62425708771,10,45841,3336,28960
7.62437605858,1,-,-,-
8.64179205894,10,-,502456,194032
8.64194202423,146,22681,11805,28960
8.6420750618,10,-,508248,199824
8.64221692085,10,-,502456,196928
8.6423459053,10,-,508248,199824
8.64248991013,10,-,501008,196928
8.64264798164,10,52801,3576,28960
8.64276099205,1,-,-,-
9.66048192978,10,-,695040,194032
9.66061306,146,22681,11805,28960
9.66072702408,10,-,700832,199824
9.6608440876,10,-,696488,196928
9.66096401215,10,-,695040,199824
9.66107797623,10,-,695040,196928
9.66118788719,10,59761,3816,28960
10.6778678894,10,-,903552,279464
10.6780190468,146,22681,11805,28960
10.6781539917,10,-,912240,285256
10.6783020496,10,-,903552,280912
10.678440094,10,-,897760,280912
10.6786010265,10,-,900656,280912
10.6787419319,10,66481,4056,28960
11.6956570148,10,-,1109168,344624
11.6958019733,146,22681,11805,28960
11.6959478855,10,-,1109168,344624
11.6960799694,10,-,1103376,344624
11.6962099075,10,-,1104824,338832
11.6963479519,10,-,1086000,338832
11.6964809895,10,73201,4296,28960
12.7137510777,10,-,1311888,344624
12.7138929367,146,22681,11805,28960
12.7140369415,10,-,1303200,344624
12.714204073,10,-,1297408,344624
12.7143468857,10,-,1284376,338832
12.7144780159,10,-,1307544,338832
12.7146248817,10,79921,4536,28960
13.7315039635,10,-,1500128,380824
13.7316589355,146,22681,11805,28960
13.7317919731,10,-,1495784,376480
13.7319328785,10,-,1491440,373584
13.7320699692,10,-,1484200,369240
13.7322020531,10,-,1468272,370688
13.7323300838,10,86657,4776,28960
14.7485649586,10,-,1598592,380824
14.7486920357,146,22681,11805,28960
14.7488188744,10,-,1655064,376480
14.7489349842,10,-,1601488,373584
14.7490470409,10,-,1597144,369240
14.749163866,10,-,1584112,370688
14.7492780685,10,93393,5016,28960
15.7659680843,10,-,1617416,380824
15.7661108971,146,22681,11805,28960
15.766256094,10,-,1980864,376480
15.7663938999,10,-,1977968,373584
15.7665710449,10,-,1970728,369240
15.766710043,10,-,1602936,370688
15.7668390274,10,100161,5256,28960
16.7836179733,10,-,1977968,380824
16.7837538719,146,22681,11805,28960
16.7838640213,10,-,2063400,376480
16.7839889526,10,-,1983760,376480
16.7841150761,10,-,1982312,376480
16.7842240334,10,-,1954800,370688
16.784334898,10,106913,5496,28960
17.8014640808,10,-,1979416,380824
17.80159688,146,22681,11805,28960
17.8017160892,10,-,2357344,376480
17.8018350601,10,-,2354448,376480
17.8019518852,10,-,2347208,376480
17.8020420074,10,-,-,-
17.8021559715,10,-,1957696,370688
17.8022689819,10,113649,5736,28960
18.8194348812,10,-,2357344,380824
18.8195738792,146,22681,11805,28960
18.8196949959,10,-,2429744,376480
18.8198099136,10,-,2355896,376480
18.8199338913,10,-,2358792,376480
18.8200390339,1,-,-,-
18.8201549053,10,-,2325488,370688
18.8202710152,10,120625,5976,28960
19.837706089,10,-,2555720,380824
19.8378560543,146,22681,11805,28960
19.8380038738,10,-,2735272,376480
19.838135004,10,-,2447120,377928
19.8382720947,10,-,2725136,376480
19.8383889198,1,-,-,-
19.8385219574,10,-,2364584,372136
