elapsed,cwnd,bytes_acked,bytes_received,rcv_space
0.465106010437,1,-,-,-
0.468936920166,62,6685,3157,28960
0.469058036804,19,2737,1656,28960
1.48643398285,10,-,196928,53576
1.48655390739,10,-,147696,60816
1.48667001724,10,-,181000,60816
1.486784935,10,-,214304,57920
1.48689985275,1,-,-,-
1.48701381683,10,-,167968,43440
1.48714089394,65,7161,3157,28960
1.48725390434,27,8081,1896,28960
2.5043900013,10,-,338832,102808
2.50451993942,10,-,335936,121632
2.50464296341,10,-,327248,121632
2.50475502014,10,-,411232,118736
2.50487804413,10,-,330144,88328
2.50499391556,65,7161,3157,28960
2.50510287285,36,14961,2136,28960
3.52196788788,10,-,356208,141904
3.52210903168,10,-,557480,176656
3.52223992348,10,-,506800,160728
3.52238488197,10,-,608160,215752
3.52251696587,10,-,511144,162176
3.5226688385,65,7161,3157,28960
3.52279782295,45,21649,2376,28960
4.54038190842,10,-,369240,141904
4.54053282738,10,-,722552,176656
4.54067802429,10,-,651600,160728
4.54082083702,10,-,800744,215752
4.54096102715,10,-,686352,162176
4.54109382629,65,7161,3157,28960
4.54122495651,54,28337,2616,28960
5.55853486061,10,-,375032,141904
5.55865883827,10,-,884728,176656
5.55877304077,10,-,767440,160728
5.55889201164,10,-,994776,215752
5.55900502205,10,-,819568,162176
5.55912899971,65,7161,3157,28960
5.55924081802,63,35025,2856,28960
6.5758869648,10,-,386616,141904
6.57600903511,10,-,968712,176656
6.576130867,10,-,794952,160728
6.57624793053,10,-,1181568,215752
6.57639098167,10,-,977400,162176
6.57652282715,65,7161,3157,28960
6.57663702965,24,41729,3096,28960
7.59276390076,10,-,398200,141904
7.59291481972,10,-,1068624,176656
7.59304594994,10,-,805088,160728
7.59318304062,10,-,1193152,215752
7.593323946,10,-,988984,162176
7.59345698357,65,7161,3157,28960
7.5935819149,30,48433,3336,28960
8.6111779213,10,-,409784,141904
8.61132097244,10,-,1080208,176656
8.61145401001,10,-,816672,160728
8.61159992218,10,-,1204736,215752
8.6117310524,10,-,996224,162176
8.6118748188,65,7161,3157,28960
8.61200785637,39,55137,3576,28960
9.62903499603,10,-,421368,141904
9.62914896011,10,-,1090344,176656
9.62927103043,10,-,828256,160728
9.62938404083,10,-,1214872,215752
9.62949895859,10,-,1004912,162176
9.62962293625,65,7161,3157,28960
9.62971186638,10,-,-,-
9.62982201576,42,61841,3816,28960
10.6464529037,10,-,421368,141904
10.646600008,10,-,1091792,176656
10.6467478275,10,-,828256,160728
10.6468849182,10,-,1216320,215752
10.6470160484,10,-,1010704,162176
10.6471569538,65,7161,3157,28960
10.6472759247,1,-,-,-
10.6474089622,45,68753,4056,28960
11.6644768715,10,-,427160,141904
11.6646008492,10,-,1097584,176656
11.6647160053,10,-,834048,160728
11.6648290157,10,-,1222112,215752
11.6650168896,10,-,1010704,162176
11.6651690006,65,7161,3157,28960
11.6652629375,1,-,-,-
11.6653878689,46,75697,4296,28960
12.681445837,10,-,502456,141904
12.6815738678,10,-,1181568,176656
12.6816959381,10,-,915136,160728
12.6818058491,10,-,1320576,215752
12.6819159985,10,-,1068624,162176
12.6820390224,65,7161,3157,28960
12.6821439266,44,82641,4536,28960
13.700001955,10,-,511144,141904
13.7001559734,10,-,1187360,176656
13.7002940178,10,-,923824,160728
13.7004759312,10,-,1326368,215752
13.7006168365,10,-,1070072,162176
13.7007598877,65,7161,3157,28960
