elapsed,cwnd,bytes_acked,bytes_received,rcv_space
0.474278926849,73,8505,2585,28960
0.478007793427,19,2737,1656,28960
0.478125810623,1,-,-,-
1.49341678619,73,8505,2585,28960
1.49755883217,27,7905,1896,28960
1.49769282341,1,-,-,-
2.51189994812,73,8505,2585,28960
2.51610779762,35,13073,2136,28960
2.51623988152,1,-,-,-
3.53229379654,10,-,94120,30408
3.53700995445,77,9033,2585,28960
3.53715085983,10,-,86880,30408
3.53729200363,10,-,94120,28960
3.53741979599,43,18241,2376,28960
3.53755187988,10,-,86880,40544
3.53769087791,10,-,83984,28960
3.53780794144,1,-,-,-
4.55235981941,10,-,228784,60816
4.55683684349,77,9033,2585,28960
4.55697488785,10,-,222992,57920
4.55710983276,10,-,254848,99912
4.55724382401,52,24929,2616,28960
4.55738782883,10,-,301184,82536
4.55751991272,10,-,322904,92672
5.57345294952,10,-,571960,201272
5.57775998116,77,9033,2585,28960
5.57788586617,10,-,440192,149144
5.57802081108,10,-,344624,118736
5.5781378746,61,31425,2856,28960
5.57828879356,10,-,508248,178104
5.57841682434,10,-,390960,167968
6.59269189835,10,-,767440,201272
6.59676885605,77,9033,2585,28960
6.59689378738,10,-,647256,149144
6.59700989723,10,-,367792,118736
6.59712195396,70,37921,3096,28960
6.59723997116,10,-,776128,178104
6.59734988213,10,-,414128,167968
7.61257386208,10,-,960024,201272
7.61684393883,77,9033,2585,28960
7.61698198318,10,-,803640,149144
7.61713290215,10,-,379376,118736
7.61726498604,79,44417,3336,28960
7.61740779877,10,-,944096,178104
7.61753582954,10,-,425712,167968
8.63183379173,10,-,1126544,201272
8.635835886,77,9033,2585,28960
8.63596892357,10,-,881832,149144
8.63608193398,10,-,390960,118736
8.6361978054,88,50913,3576,28960
8.63632082939,10,-,1002016,178104
8.63643479347,10,-,437296,167968
9.65190696716,10,-,1138128,201272
9.65583395958,77,9033,2585,28960
9.65595984459,10,-,893416,149144
9.65607786179,10,-,399648,118736
9.65619492531,97,57425,3816,28960
9.65632200241,10,-,1013600,178104
9.65643286705,10,-,448880,167968
10.6710748672,10,-,1149712,201272
10.6751928329,77,9033,2585,28960
10.6753377914,10,-,905000,149144
10.675483942,10,-,411232,118736
10.6756169796,106,63937,4056,28960
10.6757528782,10,-,1025184,178104
10.6758928299,10,-,460464,167968
11.6911828518,10,-,1161296,201272
11.6955029964,77,9033,2585,28960
11.6956129074,10,-,-,-
11.6957600117,10,-,916584,149144
11.6958999634,10,-,422816,118736
11.6960318089,115,70465,4296,28960
11.6961729527,10,-,1036768,178104
11.6963038445,10,-,472048,167968
12.7116658688,10,-,1161296,201272
12.7158429623,77,9033,2585,28960
12.7159528732,1,-,-,-
12.7160778046,10,-,916584,149144
12.7161998749,10,-,422816,118736
12.7163169384,124,77185,4536,28960
12.7164390087,10,-,1036768,178104
12.7166228294,10,-,472048,167968
13.7318959236,10,-,1171432,201272
13.7357728481,77,9033,2585,28960
13.7358767986,1,-,-,-
13.7359919548,10,-,928168,149144
13.7361087799,10,-,431504,118736
13.7362217903,133,83921,4776,28960
13.7363438606,10,-,1048352,178104
13.736456871,10,-,483632,167968
14.7510819435,10,-,1177224,201272
14.7550168037,77,9033,2585,28960
14.7551469803,10,-,933960,149144
14.7552587986,10,-,437296,118736
14.7553749084,142,90673,5016,28960
14.7555019855,10,-,1054144,178104
14.7556159496,10,-,489424,167968
15.7706508636,10,-,1185912,201272
15.7747659683,77,9033,2585,28960
15.7748918533,10,-,948440,149144
15.7750070095,10,-,454672,118736
15.7751247883,142,97201,5256,28960
15.7752549648,10,-,1071520,178104
15.7753667831,10,-,506800,167968
16.7901599407,10,-,1229352,201272
16.7941470146,77,9033,2585,28960
16.7942738533,10,-,986088,149144
16.7944059372,10,-,489424,118736
16.7945129871,142,103745,5496,28960
16.7946269512,10,-,1106272,178104
16.7947599888,10,-,541552,167968
17.8099429607,10,-,1298856,201272
17.8139967918,77,9033,2585,28960
17.8141269684,10,-,1055592,149144
17.8142869473,10,-,503904,118736
17.814399004,142,110273,5736,28960
17.8145298958,10,-,1175776,178104
17.8146460056,10,-,558928,167968
18.8296909332,10,-,1374152,201272
18.8339858055,77,9033,2585,28960
18.8341228962,10,-,1116408,149144
18.8342888355,10,-,515488,118736
18.8344228268,142,116801,5976,28960
18.8345618248,10,-,1245280,178104
18.8347008228,10,-,576304,167968
19.8500189781,10,-,1408904,201272
19.8537077904,77,9033,2585,28960
19.8538599014,10,-,1142472,149144
19.8539907932,10,-,522728,118736
19.8541200161,142,123329,6216,28960
19.8542709351,10,-,1281480,178104
19.8544118404,10,-,583544,167968
20.8685770035,10,-,1449448,201272
20.8727059364,77,9033,2585,28960
20.8728590012,10,-,1177224,149144
20.8729867935,10,-,532864,118736
20.8731098175,142,129841,6456,28960
20.8732368946,10,-,1320576,178104
20.8733589649,10,-,593680,167968
21.8884317875,10,-,1524744,201272
21.8922829628,77,9033,2585,28960
21.892416954,10,-,1238040,149144
21.8925387859,10,-,547344,118736
21.8926579952,142,136369,6696,28960
21.8927779198,10,-,1395872,178104
21.8929009438,10,-,611056,167968
22.9098749161,10,-,1547912,201272
22.9122548103,77,9033,2585,28960
22.9124078751,10,-,1261208,149144
22.9125108719,10,-,-,-
22.91264081,10,-,563272,118736
22.9127719402,8,142897,6936,28960
22.9129109383,10,-,1420488,178104
22.913038969,10,-,629880,167968
23.9283769131,10,-,1578320,201272
23.9327349663,77,9033,2585,28960
