elapsed,portnumber,cwnd,ssthresh,rtt
0.483021020889,47936,10,-,0.865/0.432
0.487631797791,47942,10,-,0.95/0.475
0.487915992737,47944,10,-,0.999/0.499
0.488179922104,47940,10,-,0.866/0.433
0.488447904587,47938,10,-,0.917/0.458
2.50339794159,47936,10,-,0.865/0.432
2.50779891014,47942,10,-,0.95/0.475
2.50803494453,47944,10,-,0.999/0.499
2.5082719326,47940,10,-,0.866/0.433
2.50851082802,47938,10,-,0.917/0.458
4.52332401276,47936,10,-,0.865/0.432
4.52777981758,47942,10,-,0.95/0.475
4.52806091309,47944,10,-,0.999/0.499
4.5283229351,47940,10,-,0.866/0.433
4.52858901024,47938,10,-,0.917/0.458
6.54344391823,47936,10,-,0.865/0.432
6.5478219986,47942,10,-,0.95/0.475
6.54805898666,47944,10,-,0.999/0.499
6.54828691483,47940,10,-,0.866/0.433
6.54852080345,47938,10,-,0.917/0.458
8.56309580803,47936,10,-,0.865/0.432
8.56721282005,47942,10,-,0.95/0.475
8.56749796867,47944,10,-,0.999/0.499
8.56771492958,47940,10,-,0.866/0.433
8.56798291206,47938,10,-,0.917/0.458
10.5832588673,47936,10,-,0.865/0.432
10.5872778893,47942,10,-,0.95/0.475
10.587515831,47944,10,-,0.999/0.499
10.5876920223,47940,10,-,0.866/0.433
10.5879378319,47938,10,-,0.917/0.458
12.6035289764,47936,10,-,0.865/0.432
12.607446909,47942,10,-,0.95/0.475
12.6076889038,47944,10,-,0.999/0.499
12.6078619957,47940,10,-,0.866/0.433
12.6080918312,47938,10,-,0.917/0.458
14.6229159832,47936,10,-,0.865/0.432
14.626652956,47942,10,-,0.95/0.475
14.6269500256,47944,10,-,0.999/0.499
14.6271548271,47940,10,-,0.866/0.433
14.6274290085,47938,10,-,0.917/0.458
16.6427118778,47936,10,-,0.865/0.432
16.6470940113,47942,10,-,0.95/0.475
16.6473379135,47944,10,-,0.999/0.499
16.6475319862,47940,10,-,0.866/0.433
16.6477708817,47938,10,-,0.917/0.458
18.6624159813,47936,10,-,0.865/0.432
18.6664860249,47942,10,-,0.95/0.475
18.6667368412,47944,10,-,0.999/0.499
18.6669139862,47940,10,-,0.866/0.433
18.667154789,47938,10,-,0.917/0.458
20.6824188232,47936,10,-,0.865/0.432
20.6865489483,47942,10,-,0.95/0.475
20.6868247986,47944,10,-,0.999/0.499
20.6870298386,47940,10,-,0.866/0.433
20.6873059273,47938,10,-,0.917/0.458
22.702051878,47936,10,-,0.865/0.432
22.7060258389,47942,10,-,0.95/0.475
22.7062819004,47944,10,-,0.999/0.499
22.706455946,47940,10,-,0.866/0.433
22.7066998482,47938,10,-,0.917/0.458
24.7217957973,47936,10,-,0.865/0.432
24.7258808613,47942,10,-,0.95/0.475
24.7261579037,47944,10,-,0.999/0.499
24.7263770103,47940,10,-,0.866/0.433
24.7266469002,47938,10,-,0.917/0.458
26.7425529957,47936,10,-,0.865/0.432
26.7468979359,47942,10,-,0.95/0.475
26.7471778393,47944,10,-,0.999/0.499
26.7474448681,47940,10,-,0.866/0.433
26.7477138042,47938,10,-,0.917/0.458
28.7633979321,47936,10,-,0.865/0.432
28.7676708698,47942,10,-,0.95/0.475
28.7679278851,47944,10,-,0.999/0.499
28.7681629658,47940,10,-,0.866/0.433
28.7684009075,47938,10,-,0.917/0.458
30.7834289074,47936,10,-,0.865/0.432
30.7878899574,47942,10,-,0.95/0.475
30.7881770134,47944,10,-,0.999/0.499
30.788465023,47940,10,-,0.866/0.433
30.7887279987,47938,10,-,0.917/0.458
32.8038988113,47936,10,-,0.865/0.432
32.8084039688,47942,10,-,0.95/0.475
32.8086879253,47944,10,-,0.999/0.499
32.8089737892,47940,10,-,0.866/0.433
32.8092339039,47938,10,-,0.917/0.458
34.8240330219,47936,10,-,0.865/0.432
34.8279829025,47942,10,-,0.95/0.475
34.8282308578,47944,10,-,0.999/0.499
34.8284089565,47940,10,-,0.866/0.433
34.8286559582,47938,10,-,0.917/0.458
36.8436088562,47936,10,-,0.865/0.432
36.8477129936,47942,10,-,0.95/0.475
36.8479888439,47944,10,-,0.999/0.499
36.8481957912,47940,10,-,0.866/0.433
36.8484859467,47938,10,-,0.917/0.458
38.8632287979,47936,10,-,0.865/0.432
38.8673019409,47942,10,-,0.95/0.475
38.8675489426,47944,10,-,0.999/0.499
38.8677380085,47940,10,-,0.866/0.433
38.867980957,47938,10,-,0.917/0.458
40.8828568459,47936,10,-,0.865/0.432
40.8869278431,47942,10,-,0.95/0.475
40.8872029781,47944,10,-,0.999/0.499
40.8874228001,47940,10,-,0.866/0.433
40.8876919746,47938,10,-,0.917/0.458
42.9034459591,47936,10,-,0.865/0.432
42.9078359604,47942,10,-,0.95/0.475
42.9081280231,47944,10,-,0.999/0.499
42.9084289074,47940,10,-,0.866/0.433
42.90868783,47938,10,-,0.917/0.458
44.9243068695,47936,10,-,0.865/0.432
44.928445816,47942,10,-,0.95/0.475
44.9286940098,47944,10,-,0.999/0.499
44.9288678169,47940,10,-,0.866/0.433
44.929104805,47938,10,-,0.917/0.458
46.9435799122,47936,10,-,0.865/0.432
46.9476599693,47942,10,-,0.95/0.475
46.9478960037,47944,10,-,0.999/0.499
46.9480597973,47940,10,-,0.866/0.433
46.9482748508,47938,10,-,0.917/0.458
48.9636700153,47936,10,-,0.865/0.432
48.967856884,47942,10,-,0.95/0.475
48.9681568146,47944,10,-,0.999/0.499
48.9683728218,47940,10,-,0.866/0.433
48.9686338902,47938,10,-,0.917/0.458
50.9837179184,47936,10,-,0.865/0.432
50.988270998,47942,10,-,0.95/0.475
50.9885208607,47944,10,-,0.999/0.499
50.9886989594,47940,10,-,0.866/0.433
50.9889378548,47938,10,-,0.917/0.458
53.0030448437,47936,10,-,0.865/0.432
53.0075418949,47942,10,-,0.95/0.475
53.0078239441,47944,10,-,0.999/0.499
53.008027792,47940,10,-,0.866/0.433
53.0083658695,47938,10,-,0.917/0.458
55.0242528915,47936,10,-,0.865/0.432
55.0285818577,47942,10,-,0.95/0.475
55.0288858414,47944,10,-,0.999/0.499
55.029088974,47940,10,-,0.866/0.433
55.0294837952,47938,10,-,0.917/0.458
57.0454809666,47936,10,-,0.865/0.432
57.0495519638,47942,10,-,0.95/0.475
57.0498390198,47944,10,-,0.999/0.499
57.0500569344,47940,10,-,0.866/0.433
57.0503180027,47938,10,-,0.917/0.458
59.0651648045,47936,10,-,0.865/0.432
59.0692009926,47942,10,-,0.95/0.475
59.0694689751,47944,10,-,0.999/0.499
59.0696408749,47940,10,-,0.866/0.433
59.0698900223,47938,10,-,0.917/0.458
61.0841917992,47936,10,-,0.865/0.432
61.0881128311,47942,10,-,0.95/0.475
61.0883708,47944,10,-,0.999/0.499
61.0885448456,47940,10,-,0.866/0.433
61.08878088,47938,10,-,0.917/0.458
63.1038448811,47936,10,-,0.865/0.432
63.1079828739,47942,10,-,0.95/0.475
63.1082727909,47944,10,-,0.999/0.499
63.1084837914,47940,10,-,0.866/0.433
63.1087548733,47938,10,-,0.917/0.458
65.124204874,47936,10,-,0.865/0.432
65.1286158562,47942,10,-,0.95/0.475
65.1289129257,47944,10,-,0.999/0.499
65.1291258335,47940,10,-,0.866/0.433
65.1294229031,47938,10,-,0.917/0.458
67.1448779106,47936,10,-,0.865/0.432
67.1491320133,47942,10,-,0.95/0.475
67.1496407986,47944,10,-,0.999/0.499
67.1498229504,47940,10,-,0.866/0.433
67.1500678062,47938,10,-,0.917/0.458
69.164678812,47936,10,-,0.865/0.432
69.1689908504,47942,10,-,0.95/0.475
69.1692669392,47944,10,-,0.999/0.499
69.1695427895,47940,10,-,0.866/0.433
69.1698269844,47938,10,-,0.917/0.458
71.1844727993,47936,10,-,0.865/0.432
71.1884260178,47942,10,-,0.95/0.475
71.1887059212,47944,10,-,0.999/0.499
71.188906908,47940,10,-,0.866/0.433
71.1891620159,47938,10,-,0.917/0.458
73.2042508125,47936,10,-,0.865/0.432
73.2081048489,47942,10,-,0.95/0.475
73.2083368301,47944,10,-,0.999/0.499
73.2085130215,47940,10,-,0.866/0.433
73.2087459564,47938,10,-,0.917/0.458
75.2235548496,47936,10,-,0.865/0.432
75.2275187969,47942,10,-,0.95/0.475
75.2277698517,47944,10,-,0.999/0.499
75.2279369831,47940,10,-,0.866/0.433
75.2281739712,47938,10,-,0.917/0.458
77.2431418896,47936,10,-,0.865/0.432
77.2472419739,47942,10,-,0.95/0.475
77.2475328445,47944,10,-,0.999/0.499
77.2477359772,47940,10,-,0.866/0.433
77.2480049133,47938,10,-,0.917/0.458
79.2674648762,47936,10,-,0.865/0.432
79.2676517963,47942,10,-,0.95/0.475
79.2679100037,47944,10,-,0.999/0.499
79.2680828571,47940,10,-,0.866/0.433
79.2683110237,47938,10,-,0.917/0.458
81.283454895,47936,10,-,0.865/0.432
81.287539959,47942,10,-,0.95/0.475
81.2878198624,47944,10,-,0.999/0.499
81.2880399227,47940,10,-,0.866/0.433
81.2883110046,47938,10,-,0.917/0.458
83.303524971,47936,10,-,0.865/0.432
83.3072488308,47942,10,-,0.95/0.475
83.3074889183,47944,10,-,0.999/0.499
83.307667017,47940,10,-,0.866/0.433
83.3079140186,47938,10,-,0.917/0.458
85.3231289387,47936,10,-,0.865/0.432
85.3271420002,47942,10,-,0.95/0.475
85.3273777962,47944,10,-,0.999/0.499
85.3275527954,47940,10,-,0.866/0.433
85.3277850151,47938,10,-,0.917/0.458
87.3424580097,47936,10,-,0.865/0.432
87.3465189934,47942,10,-,0.95/0.475
87.3468208313,47944,10,-,0.999/0.499
87.3470299244,47940,10,-,0.866/0.433
87.3472909927,47938,10,-,0.917/0.458
89.3628649712,47936,10,-,0.865/0.432
89.3669259548,47942,10,-,0.95/0.475
89.367166996,47944,10,-,0.999/0.499
89.3673479557,47940,10,-,0.866/0.433
89.3675777912,47938,10,-,0.917/0.458
91.3831129074,47936,10,-,0.865/0.432
91.3872549534,47942,10,-,0.95/0.475
91.3874919415,47944,10,-,0.999/0.499
91.3876719475,47940,10,-,0.866/0.433
91.387914896,47938,10,-,0.917/0.458
93.4034488201,47936,10,-,0.865/0.432
93.4077467918,47942,10,-,0.95/0.475
93.4080238342,47944,10,-,0.999/0.499
93.4082229137,47940,10,-,0.866/0.433
93.4084939957,47938,10,-,0.917/0.458
95.4241499901,47936,10,-,0.865/0.432
95.4282708168,47942,10,-,0.95/0.475
95.4285309315,47944,10,-,0.999/0.499
95.4287059307,47940,10,-,0.866/0.433
95.4289460182,47938,10,-,0.917/0.458
97.443625927,47936,10,-,0.865/0.432
97.447644949,47942,10,-,0.95/0.475
97.447881937,47944,10,-,0.999/0.499
97.4480698109,47940,10,-,0.866/0.433
97.4483098984,47938,10,-,0.917/0.458
99.4631819725,47936,10,-,0.865/0.432
99.4673469067,47942,10,-,0.95/0.475
99.4676189423,47944,10,-,0.999/0.499
99.4678227901,47940,10,-,0.866/0.433
99.4680869579,47938,10,-,0.917/0.458
101.483044863,47936,10,-,0.865/0.432
101.487073898,47942,10,-,0.95/0.475
101.487330914,47944,10,-,0.999/0.499
101.487519026,47940,10,-,0.866/0.433
101.487756014,47938,10,-,0.917/0.458
103.503064871,47936,10,-,0.865/0.432
103.507260799,47942,10,-,0.95/0.475
103.507546902,47944,10,-,0.999/0.499
103.507763863,47940,10,-,0.866/0.433
103.508023977,47938,10,-,0.917/0.458
105.523051977,47936,10,-,0.865/0.432
105.527395964,47942,10,-,0.95/0.475
105.527649879,47944,10,-,0.999/0.499
105.527894974,47940,10,-,0.866/0.433
105.528126001,47938,10,-,0.917/0.458
107.543781996,47936,10,-,0.865/0.432
107.548159838,47942,10,-,0.95/0.475
107.548403978,47944,10,-,0.999/0.499
107.548640013,47940,10,-,0.866/0.433
107.548882008,47938,10,-,0.917/0.458
109.563635826,47936,10,-,0.865/0.432
109.567736864,47942,10,-,0.95/0.475
109.568006992,47944,10,-,0.999/0.499
109.568203926,47940,10,-,0.866/0.433
109.568464994,47938,10,-,0.917/0.458
111.583197832,47936,10,-,0.865/0.432
111.587199926,47942,10,-,0.95/0.475
111.587445021,47944,10,-,0.999/0.499
111.587621927,47940,10,-,0.866/0.433
111.587842941,47938,10,-,0.917/0.458
113.602655888,47936,10,-,0.865/0.432
113.606733799,47942,10,-,0.95/0.475
113.607011795,47944,10,-,0.999/0.499
113.607239962,47940,10,-,0.866/0.433
113.607510805,47938,10,-,0.917/0.458
115.62229681,47936,10,-,0.865/0.432
115.626302004,47942,10,-,0.95/0.475
115.626544952,47944,10,-,0.999/0.499
115.626721859,47940,10,-,0.866/0.433
115.626960993,47938,10,-,0.917/0.458
117.641544819,47936,10,-,0.865/0.432
117.645819902,47942,10,-,0.95/0.475
117.646070004,47944,10,-,0.999/0.499
117.64624095,47940,10,-,0.866/0.433
117.646480799,47938,10,-,0.917/0.458
119.661204815,47936,10,-,0.865/0.432
119.665518999,47942,10,-,0.95/0.475
119.665794849,47944,10,-,0.999/0.499
119.666013002,47940,10,-,0.866/0.433
119.6662848,47938,10,-,0.917/0.458
121.681248903,47936,10,-,0.865/0.432
121.68561101,47942,10,-,0.95/0.475
121.685908794,47944,10,-,0.999/0.499
121.686117887,47940,10,-,0.866/0.433
121.686383009,47938,10,-,0.917/0.458
123.701643944,47936,10,-,0.865/0.432
123.705632925,47942,10,-,0.95/0.475
123.705909967,47944,10,-,0.999/0.499
123.706132889,47940,10,-,0.866/0.433
123.706420898,47938,10,-,0.917/0.458
125.721133947,47936,10,-,0.865/0.432
125.725190878,47942,10,-,0.95/0.475
125.725570917,47944,10,-,0.999/0.499
125.725775003,47940,10,-,0.866/0.433
125.72605896,47938,10,-,0.917/0.458
127.741029978,47936,10,-,0.865/0.432
127.744959831,47942,10,-,0.95/0.475
127.745208979,47944,10,-,0.999/0.499
127.745419025,47940,10,-,0.866/0.433
127.745652914,47938,10,-,0.917/0.458
129.760270834,47936,10,-,0.865/0.432
129.764271021,47942,10,-,0.95/0.475
129.764554977,47944,10,-,0.999/0.499
129.764758825,47940,10,-,0.866/0.433
129.76504302,47938,10,-,0.917/0.458
131.780407906,47936,10,-,0.865/0.432
131.784447908,47942,10,-,0.95/0.475
131.784708023,47944,10,-,0.999/0.499
131.784945965,47940,10,-,0.866/0.433
131.785194874,47938,10,-,0.917/0.458
133.800867796,47936,10,-,0.865/0.432
133.805229902,47942,10,-,0.95/0.475
133.805526018,47944,10,-,0.999/0.499
133.805800915,47940,10,-,0.866/0.433
133.806069851,47938,10,-,0.917/0.458
135.82157588,47936,10,-,0.865/0.432
135.825305939,47942,10,-,0.95/0.475
135.825606823,47944,10,-,0.999/0.499
135.825824976,47940,10,-,0.866/0.433
135.826094866,47938,10,-,0.917/0.458
137.840854883,47936,10,-,0.865/0.432
137.844915867,47942,10,-,0.95/0.475
137.845201969,47944,10,-,0.999/0.499
137.84542799,47940,10,-,0.866/0.433
137.845705986,47938,10,-,0.917/0.458
139.861909866,47936,10,-,0.865/0.432
139.865568876,47942,10,-,0.95/0.475
139.865846872,47944,10,-,0.999/0.499
139.866051912,47940,10,-,0.866/0.433
139.866336823,47938,10,-,0.917/0.458
141.881851912,47936,10,-,0.865/0.432
141.885684967,47942,10,-,0.95/0.475
141.885936975,47944,10,-,0.999/0.499
141.886108875,47940,10,-,0.866/0.433
141.88633585,47938,10,-,0.917/0.458
143.902055979,47936,10,-,0.865/0.432
143.906375885,47942,10,-,0.95/0.475
143.906661987,47944,10,-,0.999/0.499
143.906880856,47940,10,-,0.866/0.433
143.907155991,47938,10,-,0.917/0.458
145.922609806,47936,10,-,0.865/0.432
145.926860809,47942,10,-,0.95/0.475
145.927124023,47944,10,-,0.999/0.499
145.927330017,47940,10,-,0.866/0.433
145.927595854,47938,10,-,0.917/0.458
147.942899942,47936,10,-,0.865/0.432
147.9467659,47942,10,-,0.95/0.475
147.947026014,47944,10,-,0.999/0.499
147.947211981,47940,10,-,0.866/0.433
147.947438955,47938,10,-,0.917/0.458
149.963300943,47936,10,-,0.865/0.432
149.966939926,47942,10,-,0.95/0.475
149.967191935,47944,10,-,0.999/0.499
149.96736598,47940,10,-,0.866/0.433
149.967597961,47938,10,-,0.917/0.458
151.982536793,47936,10,-,0.865/0.432
151.986579895,47942,10,-,0.95/0.475
151.986862898,47944,10,-,0.999/0.499
151.987089872,47940,10,-,0.866/0.433
151.987349987,47938,10,-,0.917/0.458
154.006634951,47936,10,-,0.865/0.432
154.006853819,47942,10,-,0.95/0.475
154.007133007,47944,10,-,0.999/0.499
154.007339001,47940,10,-,0.866/0.433
154.007618904,47938,10,-,0.917/0.458
156.027083874,47936,10,-,0.865/0.432
156.0272789,47942,10,-,0.95/0.475
156.027520895,47944,10,-,0.999/0.499
156.027694941,47940,10,-,0.866/0.433
156.027944803,47938,10,-,0.917/0.458
158.046955824,47936,10,-,0.865/0.432
158.04715085,47942,10,-,0.95/0.475
158.047391891,47944,10,-,0.999/0.499
158.047572851,47940,10,-,0.866/0.433
158.047797918,47938,10,-,0.917/0.458
160.062161922,47936,10,-,0.865/0.432
160.066293955,47942,10,-,0.95/0.475
160.066586018,47944,10,-,0.999/0.499
160.066794872,47940,10,-,0.866/0.433
160.067065001,47938,10,-,0.917/0.458
162.082325935,47936,10,-,0.865/0.432
162.086360931,47942,10,-,0.95/0.475
162.086640835,47944,10,-,0.999/0.499
162.086855888,47940,10,-,0.866/0.433
162.087123871,47938,10,-,0.917/0.458
164.102496862,47936,10,-,0.865/0.432
164.106442928,47942,10,-,0.95/0.475
164.106688023,47944,10,-,0.999/0.499
164.106864929,47940,10,-,0.866/0.433
164.107112885,47938,10,-,0.917/0.458
166.121585846,47936,10,-,0.865/0.432
166.125666857,47942,10,-,0.95/0.475
166.125946999,47944,10,-,0.999/0.499
166.126148939,47940,10,-,0.866/0.433
166.126428843,47938,10,-,0.917/0.458
168.141246796,47936,10,-,0.865/0.432
168.145529985,47942,10,-,0.95/0.475
168.145764828,47944,10,-,0.999/0.499
168.145936966,47940,10,-,0.866/0.433
168.146156788,47938,10,-,0.917/0.458
170.161165953,47936,10,-,0.865/0.432
170.165404797,47942,10,-,0.95/0.475
170.165642977,47944,10,-,0.999/0.499
170.165812016,47940,10,-,0.866/0.433
170.166051865,47938,10,-,0.917/0.458
172.180703878,47936,10,-,0.865/0.432
172.184693813,47942,10,-,0.95/0.475
172.184931993,47944,10,-,0.999/0.499
172.185112,47940,10,-,0.866/0.433
172.185379982,47938,10,-,0.917/0.458
174.200045824,47936,10,-,0.865/0.432
174.204020023,47942,10,-,0.95/0.475
174.20430088,47944,10,-,0.999/0.499
174.204517841,47940,10,-,0.866/0.433
174.20478797,47938,10,-,0.917/0.458
176.219835997,47936,10,-,0.865/0.432
176.223891973,47942,10,-,0.95/0.475
176.224119902,47944,10,-,0.999/0.499
176.224295855,47940,10,-,0.866/0.433
176.224533796,47938,10,-,0.917/0.458
178.238584995,47936,10,-,0.865/0.432
178.242482901,47942,10,-,0.95/0.475
178.242733002,47944,10,-,0.999/0.499
178.242904902,47940,10,-,0.866/0.433
178.243130922,47938,10,-,0.917/0.458
180.258128881,47936,10,-,0.865/0.432
180.262377977,47942,10,-,0.95/0.475
180.262659788,47944,10,-,0.999/0.499
180.262863874,47940,10,-,0.866/0.433
180.263122797,47938,10,-,0.917/0.458
182.278264999,47936,10,-,0.865/0.432
182.282473803,47942,10,-,0.95/0.475
182.282752991,47944,10,-,0.999/0.499
182.282964945,47940,10,-,0.866/0.433
182.283227921,47938,10,-,0.917/0.458
184.298396826,47936,10,-,0.865/0.432
184.302516937,47942,10,-,0.95/0.475
184.302747965,47944,10,-,0.999/0.499
184.302928925,47940,10,-,0.866/0.433
184.303154945,47938,10,-,0.917/0.458
186.318272829,47936,10,-,0.865/0.432
186.322113991,47942,10,-,0.95/0.475
186.322391987,47944,10,-,0.999/0.499
186.322595835,47940,10,-,0.866/0.433
186.322887897,47938,10,-,0.917/0.458
188.338240862,47936,10,-,0.865/0.432
188.341925859,47942,10,-,0.95/0.475
188.342197895,47944,10,-,0.999/0.499
188.342408895,47940,10,-,0.866/0.433
188.342671871,47938,10,-,0.917/0.458
190.357577801,47936,10,-,0.865/0.432
190.36145401,47942,10,-,0.95/0.475
190.361693859,47944,10,-,0.999/0.499
190.361882925,47940,10,-,0.866/0.433
190.362118959,47938,10,-,0.917/0.458
192.376817942,47936,10,-,0.865/0.432
192.380864859,47942,10,-,0.95/0.475
192.381103992,47944,10,-,0.999/0.499
192.38130188,47940,10,-,0.866/0.433
192.381549835,47938,10,-,0.917/0.458
194.396896839,47936,10,-,0.865/0.432
194.400952816,47942,10,-,0.95/0.475
194.401237011,47944,10,-,0.999/0.499
194.401460886,47940,10,-,0.866/0.433
194.401727915,47938,10,-,0.917/0.458
196.416889906,47936,10,-,0.865/0.432
196.420828819,47942,10,-,0.95/0.475
196.421073914,47944,10,-,0.999/0.499
196.421254873,47940,10,-,0.866/0.433
196.421511889,47938,10,-,0.917/0.458
198.436662912,47936,10,-,0.865/0.432
198.440676928,47942,10,-,0.95/0.475
198.440922976,47944,10,-,0.999/0.499
198.441123962,47940,10,-,0.866/0.433
198.441391945,47938,10,-,0.917/0.458
200.455731869,47936,10,-,0.865/0.432
200.45975399,47942,10,-,0.95/0.475
200.459995985,47944,10,-,0.999/0.499
200.460186958,47940,10,-,0.866/0.433
