elapsed,portnumber,cwnd,ssthresh,rtt
0.47047996521,59888,10,-,0.794/0.397
0.470690011978,59892,10,-,0.749/0.374
0.470895051956,59894,10,-,0.747/0.373
0.471235990524,59886,10,-,0.988/0.494
0.471434116364,59890,10,-,0.768/0.384
2.48825907707,59888,10,-,0.794/0.397
2.48847293854,59892,10,-,0.749/0.374
2.48868203163,59894,10,-,0.747/0.373
2.48901510239,59886,10,-,0.988/0.494
2.48923897743,59890,10,-,0.768/0.384
4.50634002686,59888,10,-,0.794/0.397
4.50652194023,59892,10,-,0.749/0.374
4.506690979,59894,10,-,0.747/0.373
4.50696492195,59886,10,-,0.988/0.494
4.50712990761,59890,10,-,0.768/0.384
6.52377200127,59888,10,-,0.794/0.397
6.52398610115,59892,10,-,0.749/0.374
6.52419400215,59894,10,-,0.747/0.373
6.52452492714,59886,10,-,0.988/0.494
6.52472496033,59890,10,-,0.768/0.384
8.54180598259,59888,10,-,0.794/0.397
8.5419819355,59892,10,-,0.749/0.374
8.54218006134,59894,10,-,0.747/0.373
8.5425260067,59886,10,-,0.988/0.494
8.5426940918,59890,10,-,0.768/0.384
10.5596930981,59888,10,-,0.794/0.397
10.559910059,59892,10,-,0.749/0.374
10.5601160526,59894,10,-,0.747/0.373
10.5605230331,59886,10,-,0.988/0.494
10.56072402,59890,10,-,0.768/0.384
12.5774478912,59888,10,-,0.794/0.397
12.5776269436,59892,10,-,0.749/0.374
12.5778019428,59894,10,-,0.747/0.373
12.5781779289,59886,10,-,0.988/0.494
12.5783510208,59890,10,-,0.768/0.384
14.5963470936,59888,10,-,0.794/0.397
14.5965390205,59892,10,-,0.749/0.374
14.5967230797,59894,10,-,0.747/0.373
14.5970239639,59886,10,-,0.988/0.494
14.597192049,59890,10,-,0.768/0.384
16.613904953,59888,10,-,0.794/0.397
16.6141400337,59892,10,-,0.749/0.374
16.6143510342,59894,10,-,0.747/0.373
16.6146919727,59886,10,-,0.988/0.494
16.6148920059,59890,10,-,0.768/0.384
18.6317169666,59888,10,-,0.794/0.397
18.6319339275,59892,10,-,0.749/0.374
18.6321411133,59894,10,-,0.747/0.373
18.632486105,59886,10,-,0.988/0.494
18.6327021122,59890,10,-,0.768/0.384
20.6497409344,59888,10,-,0.794/0.397
20.6499149799,59892,10,-,0.749/0.374
20.6501190662,59894,10,-,0.747/0.373
20.6503989697,59886,10,-,0.988/0.494
20.6505639553,59890,10,-,0.768/0.384
22.6688799858,59888,10,-,0.794/0.397
22.6690719128,59892,10,-,0.749/0.374
22.6692609787,59894,10,-,0.747/0.373
22.6696059704,59886,10,-,0.988/0.494
22.6697850227,59890,10,-,0.768/0.384
24.6871070862,59888,10,-,0.794/0.397
24.6873240471,59892,10,-,0.749/0.374
24.6875309944,59894,10,-,0.747/0.373
24.6879360676,59886,10,-,0.988/0.494
24.6881380081,59890,10,-,0.768/0.384
