elapsed,cwnd,bytes_acked,bytes_received,rcv_space
0.469086885452,19,2737,1656,28960
0.46923494339,29,9165,3157,28960
0.469336986542,1,-,-,-
1.48656892776,10,-,166520,40544
1.48671102524,10,-,165072,39096
1.48686599731,27,8081,1896,28960
1.48699688911,10,-,183896,43440
1.48714399338,10,-,186792,41992
1.48728203773,32,9657,3157,28960
1.48739695549,1,-,-,-
1.48752188683,10,-,163624,39096
2.50456309319,10,-,276568,49232
2.50471806526,10,-,295392,43440
2.50484895706,36,14961,2136,28960
2.50498700142,10,-,298288,46336
2.50512099266,10,-,301184,46336
2.50525188446,32,9657,3157,28960
2.50539898872,10,-,280912,46336
3.52244710922,10,-,376480,50680
3.52256798744,10,-,398200,50680
3.52269387245,45,21665,2376,28960
3.52284407616,10,-,402544,50680
3.52295589447,10,-,405440,50680
3.52307295799,32,9657,3157,28960
3.52318000793,10,-,382272,49232
4.53934907913,10,-,464808,53576
4.53949809074,10,-,464808,56472
4.53962492943,54,28353,2616,28960
4.53975105286,10,-,515488,56472
4.53988289833,10,-,516936,56472
4.54001092911,32,9657,3157,28960
4.54014897346,10,-,457568,52128
5.55713009834,10,-,569064,72400
5.55727696419,10,-,584992,63712
5.55741405487,63,35025,2856,28960
5.55755901337,10,-,598024,62264
5.55769395828,10,-,599472,62264
5.55783104897,32,9657,3157,28960
5.55797505379,10,-,569064,69504
6.57496190071,10,-,682008,97016
6.5750939846,10,-,708072,83984
6.57521605492,72,41729,3096,28960
6.5753390789,10,-,709520,85432
6.5754609108,10,-,712416,79640
6.57559108734,32,9657,3157,28960
6.5757188797,10,-,683456,92672
7.59259700775,10,-,802192,141904
7.59275794029,10,-,816672,117288
7.59289002419,81,48417,3336,28960
7.59302902222,10,-,863008,112944
7.59316897392,10,-,860112,111496
7.59331202507,32,9657,3157,28960
7.5934510231,10,-,826808,133216
8.61028599739,10,-,975952,141904
8.61041688919,10,-,938304,175208
8.6105298996,90,55105,3576,28960
8.61065602303,10,-,1003464,167968
8.61079287529,10,-,1074416,162176
8.61091995239,32,9657,3157,28960
8.61104202271,10,-,952784,133216
9.62786388397,10,-,1138128,212856
9.62802505493,10,-,1161296,175208
9.6281580925,99,61809,3816,28960
9.6282980442,10,-,1139576,167968
9.62843298912,10,-,1117856,162176
9.62856602669,32,9657,3157,28960
9.62870287895,10,-,1200392,199824
10.6465630531,10,-,1306096,212856
10.6467049122,10,-,1225008,264984
10.6468949318,108,68513,4056,28960
10.6470329762,10,-,1400216,251952
10.6471629143,10,-,1432072,240368
10.6473019123,32,9657,3157,28960
10.6474490166,10,-,1252520,199824
10.6475470066,10,-,-,-
11.6647460461,10,-,1489992,318560
11.6648800373,10,-,1556600,264984
11.6649930477,117,75425,4296,28960
11.665102005,10,-,1489992,251952
11.66522789,10,-,1476960,240368
11.6654250622,32,9657,3157,28960
11.6655480862,10,-,1530536,299736
11.6656479836,1,-,-,-
12.6822938919,10,-,1753528,318560
12.6824259758,10,-,1647824,412680
12.6825430393,126,82369,4536,28960
12.682669878,10,-,1746288,393856
12.6828179359,10,-,1672440,367792
12.6829478741,32,9657,3157,28960
12.6830670834,10,-,1701400,299736
12.6831710339,1,-,-,-
13.7001669407,10,-,1785384,318560
13.700330019,10,-,1863576,412680
13.7004649639,135,89313,4776,28960
13.7005989552,10,-,2001136,393856
13.7007420063,10,-,1972176,367792
13.7008800507,32,9657,3157,28960
13.7010200024,10,-,1879504,448880
13.7011330128,1,-,-,-
14.7188398838,10,-,2059056,477840
14.7189700603,10,-,2151728,412680
14.7190868855,36,96257,5016,28960
14.7192161083,10,-,2060504,393856
14.7193439007,10,-,2022856,367792
14.71946311,32,9657,3157,28960
14.7195830345,10,-,2118424,448880
14.7196888924,1,-,-,-
15.7368340492,10,-,2366032,477840
15.7369730473,10,-,2213992,582096
15.7370910645,44,103201,5256,28960
15.7372119427,10,-,2284944,548792
15.7373299599,10,-,2032992,540104
15.7374520302,32,9657,3157,28960
15.7375779152,10,-,2373272,448880
15.7376749516,1,-,-,-
16.7553958893,10,-,2454360,477840
16.7555539608,10,-,2296528,582096
16.7556869984,53,110161,5496,28960
16.7558190823,10,-,2426848,548792
16.7559518814,10,-,2502144,540104
16.7560839653,32,9657,3157,28960
16.7562129498,10,-,2374720,448880
16.7563290596,1,-,-,-
17.7733988762,10,-,2497800,477840
17.7735459805,10,-,2529656,582096
17.7736830711,60,117105,5736,28960
17.7737998962,10,-,2791744,548792
17.7739338875,10,-,2729480,540104
17.7740659714,32,9657,3157,28960
17.7741930485,10,-,2387752,673320
17.7742929459,1,-,-,-
18.7913520336,10,-,2797536,712416
18.7914969921,10,-,2732376,582096
18.7916209698,60,124065,5976,28960
18.791738987,10,-,2812016,548792
18.7918670177,10,-,2794640,540104
18.7919929028,32,9657,3157,28960
18.7921130657,10,-,2751200,673320
19.8088328838,10,-,2906136,712416
19.8089549541,10,-,3040800,582096
19.8090798855,60,130785,6216,28960
19.8092050552,10,-,2910480,548792
19.809319973,10,-,2836632,540104
19.809442997,32,9657,3157,28960
19.8095560074,10,-,3011840,673320
20.8267230988,10,-,3350672,712416
20.8268959522,10,-,3134920,893416
20.8270308971,60,137537,6456,28960
20.8271670341,10,-,2965504,849976
20.8273069859,10,-,2851112,810880
20.8274400234,32,9657,3157,28960
20.8275680542,10,-,3263792,673320
21.8446528912,10,-,3370944,712416
21.8447990417,10,-,3142160,893416
21.8449459076,60,144257,6696,28960
21.8450820446,10,-,3369496,849976
21.8452110291,10,-,3043696,810880
21.8453428745,32,9657,3157,28960
21.8454799652,10,-,3381080,673320
22.8622839451,10,-,3492576,712416
22.8624200821,10,-,3262344,893416
22.8625369072,62,150977,6936,28960
22.8626658916,10,-,3449136,849976
22.8628060818,10,-,3423072,810880
22.8629388809,32,9657,3157,28960
22.8630590439,10,-,3382528,673320
23.880065918,10,-,3554840,712416
23.8802139759,10,-,3262344,893416
23.8803420067,62,157697,7176,28960
23.8804600239,10,-,3745976,849976
23.8805840015,10,-,3876296,810880
23.8807060719,32,9657,3157,28960
23.8808259964,10,-,3382528,673320
24.8975160122,10,-,3554840,712416
24.8976800442,10,-,3727152,893416
24.8978159428,62,164417,7416,28960
24.8979609013,10,-,3989240,849976
24.8980939388,10,-,3889328,810880
24.8982338905,32,9657,3157,28960
24.8983640671,10,-,3462168,1007808
25.9153580666,10,-,3835752,1057040
25.9155158997,10,-,3831408,893416
25.9156498909,62,171153,7656,28960
25.915792942,10,-,3990688,849976
25.9159300327,10,-,3931320,810880
25.9160590172,32,9657,3157,28960
25.916187048,10,-,3924080,1007808
26.9333319664,10,-,4047160,1057040
26.9334659576,10,-,4148520,893416
26.9335858822,8,177873,7896,28960
26.9337110519,10,-,4083360,849976
26.9338960648,10,-,3992136,810880
26.9339880943,10,-,-,-
26.9341490269,32,9657,3157,28960
26.9342689514,10,-,4070328,1007808
27.9510650635,10,-,4149968,1057040
27.9512200356,10,-,4387440,893416
27.9513509274,17,184817,8136,28960
27.9514820576,10,-,4183272,849976
27.9516189098,10,-,4047160,810880
27.9517328739,1,-,-,-
27.9518649578,32,9657,3157,28960
27.951996088,10,-,4464184,1007808
28.9692690372,10,-,4781296,1057040
28.9693889618,10,-,4425088,1339400
28.9695050716,26,191745,8376,28960
28.9696290493,10,-,4202096,849976
28.9697480202,10,-,4047160,810880
28.9698410034,1,-,-,-
28.9699568748,32,9657,3157,28960
28.9700639248,10,-,4672696,1007808
29.9866828918,10,-,4839216,1057040
29.9868760109,10,-,4517760,1339400
29.9870109558,28,198705,8616,28960
29.9871408939,10,-,4697312,1269896
29.9872770309,10,-,4132592,1210528
29.9874100685,32,9657,3157,28960
29.9875490665,10,-,4862384,1007808
31.0042519569,10,-,4910168,1057040
31.0043768883,10,-,4546720,1339400
31.0045049191,32,205425,8856,28960
31.0046210289,10,-,4962296,1269896
31.0047409534,10,-,4571336,1210528
31.0048570633,32,9657,3157,28960
31.0049750805,10,-,4863832,1007808
32.0219988823,10,-,5031800,1057040
32.022135973,10,-,4694416,1339400
32.0222580433,41,212145,9096,28960
32.0223810673,10,-,4968088,1269896
32.0224900246,10,-,5183840,1210528
32.0226089954,32,9657,3157,28960
32.0227220058,10,-,4863832,1007808
33.0392460823,10,-,5060760,1057040
33.039372921,10,-,4694416,1339400
33.0394940376,44,218865,9336,28960
33.0396208763,10,-,5531360,1269896
33.0397360325,10,-,5616792,1210528
33.0398600101,32,9657,3157,28960
33.0399849415,10,-,4865280,1481304
34.0567550659,10,-,5060760,1057040
34.0569090843,10,-,5338776,1339400
34.0570409298,44,225601,9576,28960
34.0571770668,10,-,5751456,1269896
34.0573039055,10,-,5624032,1210528
34.0574378967,32,9657,3157,28960
34.0575609207,10,-,4904376,1481304
35.0746319294,10,-,5201216,1505920
35.0747959614,10,-,5406832,1339400
35.0749230385,8,232305,9816,28960
35.0750451088,10,-,5751456,1269896
35.0751669407,10,-,5628376,1210528
35.0752921104,32,9657,3157,28960
35.0754039288,10,-,5600864,1481304
36.0925009251,10,-,5748560,1505920
36.0926408768,10,-,5641408,1339400
36.0927848816,17,239041,10056,28960
36.0929310322,10,-,5751456,1269896
36.0930628777,10,-,5639960,1210528
36.093198061,32,9657,3157,28960
36.0933320522,10,-,5658784,1481304
37.1104938984,10,-,5867296,1505920
37.1106340885,10,-,6007752,1339400
37.1108419895,20,245761,10296,28960
37.1109941006,10,-,5902048,1269896
37.111125946,10,-,5777520,1210528
37.1112680435,32,9657,3157,28960
37.1114029884,10,-,5887568,1481304
38.129160881,10,-,6023680,1505920
38.1292710304,10,-,-,-
38.1294028759,10,-,6361064,1339400
38.1295449734,29,252481,10536,28960
38.1296679974,10,-,5981688,1269896
38.1297800541,10,-,5803584,1210528
38.129901886,32,9657,3157,28960
38.1300239563,10,-,6216264,1481304
39.1470150948,10,-,6332104,1505920
39.1471369267,1,-,-,-
39.1472859383,10,-,6392920,1339400
39.1474158764,38,259441,10776,28960
39.1475570202,10,-,6068568,1269896
39.1476988792,10,-,5854264,1210528
39.1478319168,32,9657,3157,28960
39.1479599476,10,-,6689760,1481304
40.1660459042,10,-,6992392,1505920
40.1661720276,1,-,-,-
40.1663038731,10,-,6534824,2004032
40.1664478779,47,266385,11016,28960
40.1665830612,10,-,6122144,1889640
40.1667230129,10,-,5854264,1210528
40.1668820381,32,9657,3157,28960
40.1670150757,10,-,6820080,1481304
41.1846749783,10,-,7014112,1505920
41.1847889423,1,-,-,-
41.1849200726,10,-,6575368,2004032
41.1850430965,52,273329,11256,28960
41.1851608753,10,-,6723064,1889640
41.1852889061,10,-,5867296,1807104
41.1854059696,32,9657,3157,28960
41.1855158806,10,-,7076376,1481304
42.2025120258,10,-,7054656,1505920
42.2026259899,1,-,-,-
42.2027699947,10,-,6575368,2004032
42.2028899193,8,280289,11496,28960
42.2030069828,10,-,7103888,1889640
42.2031919956,10,-,6329208,1807104
42.2033128738,32,9657,3157,28960
42.2034258842,10,-,7077824,1481304
43.2203550339,10,-,7198008,1505920
43.2204759121,1,-,-,-
43.2206180096,10,-,6747680,2004032
43.2207520008,17,287249,11736,28960
43.2208919525,10,-,7242896,1889640
43.2210290432,10,-,6641976,1807104
43.2211620808,32,9657,3157,28960
43.2212929726,10,-,7077824,1481304
44.2392990589,10,-,7310952,1505920
44.2394080162,1,-,-,-
44.2395350933,10,-,6851936,2004032
44.2396500111,26,294193,11976,28960
44.2397699356,10,-,7244344,1889640
44.239882946,10,-,7302264,1807104
44.2400009632,32,9657,3157,28960
44.2401080132,10,-,7077824,1481304
45.2570140362,10,-,7363080,1505920
45.2571430206,1,-,-,-
45.2572751045,10,-,6851936,2004032
45.257404089,30,301153,12216,28960
45.2575678825,10,-,7415208,1889640
45.2577059269,10,-,8104456,1807104
45.2578499317,32,9657,3157,28960
45.2579829693,10,-,7077824,1481304
46.2752161026,10,-,7364528,1505920
46.2753400803,10,-,6893928,2004032
46.2754659653,30,308113,12456,28960
46.2755908966,10,-,8198576,1889640
46.2757229805,10,-,8178304,1807104
46.2758460045,32,9657,3157,28960
46.2759590149,10,-,7079272,2213992
47.2930400372,10,-,7364528,1505920
47.2931818962,10,-,7565800,2004032
47.2933058739,32,314833,12696,28960
47.2934370041,10,-,8404192,1889640
47.2935490608,10,-,8178304,1807104
47.2936758995,32,9657,3157,28960
47.293790102,10,-,7124160,2213992
48.3103098869,10,-,7364528,1505920
48.3104510307,10,-,7893048,2004032
48.3105828762,32,321585,12936,28960
48.3107728958,10,-,8404192,1889640
48.3109109402,10,-,8178304,1807104
48.3110530376,32,9657,3157,28960
48.3111829758,10,-,7672952,2213992
49.3286659718,10,-,7364528,1505920
49.3288190365,10,-,7901736,2004032
49.3289549351,32,328321,13176,28960
49.3290948868,10,-,8404192,1889640
49.3292329311,10,-,8221744,1807104
49.3293709755,32,9657,3157,28960
49.3294959068,10,-,7877120,2213992
50.3471939564,10,-,7364528,1505920
50.3473260403,10,-,7901736,2004032
50.3474590778,32,335041,13416,28960
