elapsed,cwnd,bytes_acked,bytes_received,rcv_space
0.47052693367,10,2737,1656,28960
0.470650911331,143,17761,10765,28960
0.470752000809,1,-,-,-
1.48685789108,10,8097,1896,28960
1.48697900772,143,17761,10765,28960
1.4870967865,1,-,-,-
2.50309681892,10,13457,2136,28960
2.50325894356,143,17761,10765,28960
2.50337195396,1,-,-,-
3.52006196976,10,18833,2376,28960
3.5202088356,143,17761,10765,28960
3.52032899857,1,-,-,-
4.53722000122,10,24209,2616,28960
4.53737878799,145,18289,10765,28960
4.53750991821,10,-,20272,28960
4.53764200211,10,-,21720,28960
4.53775596619,10,-,21720,28960
4.53786897659,10,-,21720,28960
4.53798699379,10,-,21720,28960
5.55395197868,10,30913,2856,28960
5.55408883095,145,18289,10765,28960
5.5542140007,10,-,68056,36200
5.55433678627,10,-,68056,36200
5.55447077751,10,-,70952,36200
5.55458688736,10,-,70952,36200
5.55470085144,10,-,70952,36200
6.57130098343,10,37617,3096,28960
6.5714609623,145,18289,10765,28960
6.57159280777,10,-,149144,65160
6.57172393799,10,-,149144,63712
6.57185697556,10,-,152040,62264
6.57198190689,10,-,154936,62264
6.57211589813,10,-,152040,62264
7.58965778351,10,44337,3336,28960
7.58978796005,145,18289,10765,28960
7.58991599083,10,-,289600,98464
7.59004878998,10,-,288152,98464
7.59016489983,10,-,295392,104256
7.59028100967,10,-,293944,107152
7.5903968811,10,-,292496,102808
8.60807585716,10,51057,3576,28960
8.60820293427,145,18289,10765,28960
8.60833692551,10,-,457568,182448
8.60846090317,10,-,464808,181000
8.60857892036,10,-,470600,191136
8.60869479179,10,-,486528,198376
8.60880589485,10,-,460464,182448
9.62561798096,10,57809,3816,28960
9.62576889992,145,18289,10765,28960
9.62589693069,10,-,640016,182448
9.62601590157,10,-,634224,181000
9.62613892555,10,-,654496,191136
9.62625098228,10,-,684904,198376
9.62636899948,10,-,644360,182448
10.6432049274,10,64273,4056,28960
10.6433479786,145,18289,10765,28960
10.6434819698,10,-,860112,257744
10.6436259747,10,-,855768,254848
10.6437599659,10,-,868800,262088
10.6439068317,10,-,874592,272224
10.644040823,10,-,838392,251952
