Server 15
elapsed,portnumber,cwnd,ssthresh,rtt
47.4382297993,5001,127,782,5180.75/101.846
47.4385478497,5001,429,1102,5231.06/129.957
47.438836813,5001,197,1058,4424.68/525.28
47.4391429424,5001,372,985,5326.55/365.233
49.4620058537,5001,414,1312,4225.27/82.563
49.4632589817,5001,163,782,4211.15/66.255
49.463632822,5001,408,1102,4211.19/76.031
49.4639399052,5001,234,1058,4215.16/78.834
49.4642407894,5001,410,985,4215.48/70.976
51.4861118793,5001,507,1312,5273.1/76.284
51.4872457981,5001,247,782,5175.42/95.347
51.4875547886,5001,496,1102,5191.15/81.059
51.4878399372,5001,325,1058,5243.4/56.066
51.4881048203,5001,496,985,5171.95/88.339
53.5100178719,5001,530,1312,4840.55/150.954
53.511166811,5001,257,782,4721.81/106.648
53.5114250183,5001,517,1102,4665.1/65.336
53.5117149353,5001,273,1058,4779.45/144.96
53.5119738579,5001,410,985,4703.47/94.395
55.5338618755,5001,581,1312,5531.68/75.597
55.5351829529,5001,298,782,5484.69/147.807
55.5354909897,5001,568,1102,5522.39/98.918
55.5358319283,5001,306,1058,5472.55/155.664
55.5361368656,5001,454,985,5524.53/90.562
57.5583138466,5001,645,1312,6243.18/86.642
57.5596439838,5001,346,782,6258.19/72.677
57.5599529743,5001,622,1102,6249.64/86.774
57.5602669716,5001,351,1058,6244.92/84.241
57.5605819225,5001,494,985,6240.1/90.116
59.5833399296,5001,458,1312,6233.05/62.841
59.5841698647,5001,363,782,6193.02/62.111
59.5844349861,5001,569,1102,6198.31/66.784
59.5846989155,5001,361,1058,6257.78/62.5
59.5849540234,5001,511,985,6158.1/57.268
61.6076807976,5001,489,1312,6625.27/97.913
61.6088058949,5001,393,782,6600.57/73.894
61.6090779305,5001,580,1102,6615.49/112.599
61.609349966,5001,381,1058,6599.64/82.541
61.6096098423,5001,503,985,6600.86/115.768
63.6323099136,5001,532,1312,6955.21/22.819
63.6334898472,5001,421,782,7042.34/73.15
63.6338119507,5001,575,1102,7004.26/120.434
63.6341187954,5001,386,1058,6906.05/168.261
63.6344158649,5001,514,985,7008.69/103.615
65.656940937,5001,552,1312,7741.43/120.058
65.6578288078,5001,426,782,7775.84/92.984
65.6580958366,5001,1102,1102,7721.05/227.396
65.6583459377,5001,404,1058,7710.67/206.65
65.6586148739,5001,991,985,7724.12/173.81
67.680836916,5001,601,1312,8852.51/21.302
67.6821248531,5001,444,782,8610.43/174.368
67.6824309826,5001,1158,1102,8822.37/194.65
67.6827349663,5001,419,1058,8698.8/111.872
67.6830530167,5001,1052,985,8697.52/205.694
69.7058448792,5001,601,1312,8852.51/21.302
69.7070949078,5001,441,782,8879.53/160.821
69.7073478699,5001,1161,1102,8910.23/119.726
69.7076358795,5001,419,1058,8698.8/111.872
69.7078988552,5001,1057,985,8744.2/208.072
71.7302668095,5001,601,1312,8852.51/21.302
71.7313909531,5001,441,782,8879.53/160.821
71.7316768169,5001,1161,1102,8910.23/119.726
71.731926918,5001,419,1058,8698.8/111.872
71.7321748734,5001,1057,985,8744.2/208.072
73.7551009655,5001,601,1312,8852.51/21.302
73.7564218044,5001,441,782,8879.53/160.821
73.7567389011,5001,1161,1102,8910.23/119.726
73.7570447922,5001,419,1058,8698.8/111.872
73.7573568821,5001,1057,985,8744.2/208.072
75.7791500092,5001,601,1312,8852.51/21.302
75.7804048061,5001,441,782,8879.53/160.821
75.7806608677,5001,1161,1102,8910.23/119.726
75.7809238434,5001,419,1058,8698.8/111.872
75.7811868191,5001,1057,985,8744.2/208.072
77.8024449348,5001,601,1312,8852.51/21.302
77.8037638664,5001,441,782,8879.53/160.821
77.8040039539,5001,1161,1102,8910.23/119.726
77.8042509556,5001,419,1058,8698.8/111.872
77.804502964,5001,1057,985,8744.2/208.072
79.8264958858,5001,601,1312,8852.51/21.302
79.8278179169,5001,441,782,8879.53/160.821
79.8281087875,5001,1161,1102,8910.23/119.726
79.8284230232,5001,419,1058,8698.8/111.872
79.8287198544,5001,1057,985,8744.2/208.072
81.8507328033,5001,1,1312,8852.51/21.302
81.8522918224,5001,441,782,8879.53/160.821
81.8525459766,5001,1161,1102,8910.23/119.726
81.8528017998,5001,1,1058,8698.8/111.872
81.8530519009,5001,1057,985,8744.2/208.072
83.8745648861,5001,1,1312,8852.51/21.302
83.8759047985,5001,441,782,8879.53/160.821
83.8761999607,5001,1161,1102,8910.23/119.726
83.8765118122,5001,1,1058,8698.8/111.872
83.8768289089,5001,1,740,8744.2/208.072
85.8989198208,5001,1,1312,8852.51/21.302
85.9001247883,5001,671,782,1293.21/53.872
85.9003858566,5001,1,812,8910.23/119.726
85.9006569386,5001,1,1058,8698.8/111.872
85.9009218216,5001,1,740,8744.2/208.072
87.9231719971,5001,1,1312,8852.51/21.302
87.9243459702,5001,800,782,1262.71/9.145
87.9246139526,5001,1741,1102,10178.7/2626.74
87.9248929024,5001,1,1058,8698.8/111.872
87.9251549244,5001,1,740,8744.2/208.072
89.9479169846,5001,1,1312,8852.51/21.302
89.9491899014,5001,826,782,3357.01/4.97
89.9494848251,5001,1741,1102,10178.7/2626.74
89.9498028755,5001,1,1058,8698.8/111.872
89.950111866,5001,1,740,8744.2/208.072
91.9722628593,5001,1,1312,8852.51/21.302
91.9732379913,5001,852,782,2603.7/3.043
91.973544836,5001,1214,1219,4702.3/0.457
91.9738399982,5001,1,1058,8698.8/111.872
91.9741289616,5001,1,740,8744.2/208.072
