1529268731.473271000,172.16.9.1,172.16.4.1
1529268731.473627000,172.16.9.1,172.16.4.1
1529268734.537614000,172.16.9.1,172.16.4.1
1529268734.537934000,172.16.9.1,172.16.4.1
1529268740.668870000,172.16.9.1,172.16.4.1
1529268740.669192000,172.16.9.1,172.16.4.1
1529268751.475428000,172.16.4.1,172.16.9.1
1529268751.475819000,172.16.9.1,172.16.4.1
1529268751.478610000,172.16.4.1,172.16.9.1
1529268751.487002000,172.16.9.1,172.16.4.1
1529268751.487446000,172.16.9.1,172.16.4.1
1529268751.487934000,172.16.9.1,172.16.4.1
1529268751.494887000,172.16.4.1,172.16.9.1
1529268751.496089000,172.16.4.1,172.16.9.1
1529268751.505951000,172.16.9.1,172.16.4.1
1529268751.506200000,172.16.9.1,172.16.4.1
1529268751.506833000,172.16.9.1,172.16.4.1
1529268751.508279000,172.16.9.1,172.16.4.1
1529268751.510124000,172.16.4.1,172.16.9.1
1529268751.510860000,172.16.4.1,172.16.9.1
1529268751.537577000,172.16.4.1,172.16.9.1
1529268751.543569000,172.16.4.1,172.16.9.1
1529268751.577315000,172.16.4.1,172.16.9.1
1529268751.777700000,172.16.4.1,172.16.9.1
1529268751.777745000,172.16.4.1,172.16.9.1
1529268752.178206000,172.16.4.1,172.16.9.1
1529268752.178246000,172.16.4.1,172.16.9.1
1529268752.422200000,172.16.9.1,172.16.4.1
1529268752.422412000,172.16.9.1,172.16.4.1
1529268752.422577000,172.16.9.1,172.16.4.1
1529268752.422734000,172.16.9.1,172.16.4.1
1529268752.422886000,172.16.9.1,172.16.4.1
1529268752.423040000,172.16.9.1,172.16.4.1
1529268752.423196000,172.16.9.1,172.16.4.1
1529268752.423352000,172.16.9.1,172.16.4.1
1529268752.423511000,172.16.9.1,172.16.4.1
1529268752.423669000,172.16.9.1,172.16.4.1
1529268752.423825000,172.16.9.1,172.16.4.1
1529268752.423978000,172.16.9.1,172.16.4.1
1529268752.424133000,172.16.9.1,172.16.4.1
1529268752.424286000,172.16.9.1,172.16.4.1
1529268752.424439000,172.16.9.1,172.16.4.1
1529268752.424592000,172.16.9.1,172.16.4.1
1529268752.424746000,172.16.9.1,172.16.4.1
1529268752.424902000,172.16.9.1,172.16.4.1
1529268752.425056000,172.16.9.1,172.16.4.1
1529268752.425210000,172.16.9.1,172.16.4.1
1529268752.425364000,172.16.9.1,172.16.4.1
1529268752.425570000,172.16.9.1,172.16.4.1
1529268752.425692000,172.16.4.1,172.16.9.1
1529268752.425772000,172.16.9.1,172.16.4.1
1529268752.425934000,172.16.9.1,172.16.4.1
1529268752.426088000,172.16.9.1,172.16.4.1
1529268752.426244000,172.16.9.1,172.16.4.1
1529268752.426399000,172.16.9.1,172.16.4.1
1529268752.426555000,172.16.9.1,172.16.4.1
1529268752.426713000,172.16.9.1,172.16.4.1
1529268752.426865000,172.16.9.1,172.16.4.1
1529268752.427020000,172.16.9.1,172.16.4.1
1529268752.427175000,172.16.9.1,172.16.4.1
1529268752.427331000,172.16.9.1,172.16.4.1
1529268752.427483000,172.16.9.1,172.16.4.1
1529268752.427777000,172.16.9.1,172.16.4.1
1529268752.428191000,172.16.9.1,172.16.4.1
1529268752.428542000,172.16.4.1,172.16.9.1
1529268752.428731000,172.16.9.1,172.16.4.1
1529268752.429369000,172.16.9.1,172.16.4.1
1529268752.429770000,172.16.9.1,172.16.4.1
1529268752.430086000,172.16.9.1,172.16.4.1
1529268752.430485000,172.16.9.1,172.16.4.1
1529268752.431544000,172.16.4.1,172.16.9.1
1529268752.432141000,172.16.9.1,172.16.4.1
1529268752.434535000,172.16.4.1,172.16.9.1
1529268752.435065000,172.16.9.1,172.16.4.1
1529268752.435243000,172.16.9.1,172.16.4.1
1529268752.437524000,172.16.4.1,172.16.9.1
1529268752.438334000,172.16.9.1,172.16.4.1
1529268752.438628000,172.16.9.1,172.16.4.1
1529268752.438862000,172.16.9.1,172.16.4.1
1529268752.440543000,172.16.4.1,172.16.9.1
1529268752.443535000,172.16.4.1,172.16.9.1
1529268752.446212000,172.16.9.1,172.16.4.1
1529268752.446392000,172.16.9.1,172.16.4.1
1529268752.446516000,172.16.4.1,172.16.9.1
1529268752.446547000,172.16.9.1,172.16.4.1
1529268752.446693000,172.16.9.1,172.16.4.1
1529268752.446842000,172.16.9.1,172.16.4.1
1529268752.446993000,172.16.9.1,172.16.4.1
1529268752.447139000,172.16.9.1,172.16.4.1
1529268752.447285000,172.16.9.1,172.16.4.1
1529268752.447432000,172.16.9.1,172.16.4.1
1529268752.449531000,172.16.4.1,172.16.9.1
1529268752.450137000,172.16.9.1,172.16.4.1
1529268752.450335000,172.16.9.1,172.16.4.1
1529268752.450493000,172.16.9.1,172.16.4.1
1529268752.450642000,172.16.9.1,172.16.4.1
1529268752.452313000,172.16.9.1,172.16.4.1
1529268752.452475000,172.16.9.1,172.16.4.1
1529268752.452513000,172.16.4.1,172.16.9.1
1529268752.452624000,172.16.9.1,172.16.4.1
1529268752.453225000,172.16.9.1,172.16.4.1
1529268752.454890000,172.16.9.1,172.16.4.1
1529268752.455064000,172.16.9.1,172.16.4.1
1529268752.455215000,172.16.9.1,172.16.4.1
1529268752.455365000,172.16.9.1,172.16.4.1
1529268752.455469000,172.16.4.1,172.16.9.1
1529268752.456053000,172.16.9.1,172.16.4.1
1529268752.457658000,172.16.9.1,172.16.4.1
1529268752.457825000,172.16.9.1,172.16.4.1
1529268752.457969000,172.16.9.1,172.16.4.1
1529268752.458118000,172.16.9.1,172.16.4.1
1529268752.458546000,172.16.4.1,172.16.9.1
1529268752.459076000,172.16.9.1,172.16.4.1
1529268752.459240000,172.16.9.1,172.16.4.1
1529268752.460897000,172.16.9.1,172.16.4.1
1529268752.461059000,172.16.9.1,172.16.4.1
1529268752.461209000,172.16.9.1,172.16.4.1
1529268752.461361000,172.16.9.1,172.16.4.1
1529268752.461548000,172.16.4.1,172.16.9.1
1529268752.461571000,172.16.9.1,172.16.4.1
1529268752.462277000,172.16.9.1,172.16.4.1
1529268752.462443000,172.16.9.1,172.16.4.1
1529268752.464099000,172.16.9.1,172.16.4.1
1529268752.464261000,172.16.9.1,172.16.4.1
